base_items,add_items,support,confidence,lift
4,3,0.0152,0.28044280442804426,3.759286922627939
3,4,0.0152,0.2037533512064343,3.759286922627939
8,96,0.0152,0.21288515406162464,2.250371607416751
"1, 2",6,0.0152,0.30039525691699603,1.5140889965574396
102,6,0.0152,0.2825278810408922,1.4240316584722388
40,17,0.0148,0.296,4.900662251655629
17,40,0.0148,0.24503311258278146,4.900662251655629
2,50,0.0148,0.21142857142857144,1.3518450858604312
"1, 5",2,0.0146,0.6697247706422018,9.567496723460026
2,"1, 5",0.0146,0.20857142857142857,9.567496723460026
"2, 5",1,0.0146,0.7525773195876289,6.030266983875231
"1, 2",5,0.0146,0.2885375494071146,6.011198945981555
5,"1, 2",0.0146,0.30416666666666664,6.011198945981555
"6, 10",50,0.0146,0.5214285714285715,3.3339422725611985
"10, 50",6,0.0146,0.5140845070422535,2.591151749204907
10,"6, 50",0.0146,0.2225609756097561,2.57593721770551
9,7,0.0144,0.4931506849315068,10.72066706372841
7,9,0.0144,0.3130434782608696,10.72066706372841
73,50,0.0144,0.3870967741935484,2.475043313257982
119,118,0.0142,0.3034188034188034,6.092747056602478
118,119,0.0142,0.285140562248996,6.092747056602478
"1, 27",6,0.0142,0.7473684210526316,3.7669779286926994
"1, 6",27,0.0142,0.2572463768115942,2.417729105372126
"6, 27",1,0.0142,0.2526690391459075,2.0245916598229767
92,89,0.014,0.330188679245283,13.991045730732333
89,92,0.014,0.5932203389830508,13.991045730732333
141,123,0.014,0.2692307692307692,3.924646781789639
123,141,0.014,0.20408163265306123,3.924646781789639
49,27,0.014,0.3333333333333333,3.132832080200501
121,119,0.0138,0.5702479338842975,12.18478491205764
119,121,0.0138,0.2948717948717949,12.18478491205764
"1, 96",50,0.0138,0.7931034482758621,5.070993914807302
"6, 123",96,0.0138,0.45695364238410596,4.830376769388012
"6, 96",123,0.0138,0.3150684931506849,4.592835177123687
123,"6, 96",0.0138,0.20116618075801748,4.592835177123687
"96, 123",6,0.0138,0.8846153846153846,4.458746898263027
"1, 50",96,0.0138,0.3689839572192513,3.9004646640512823
"50, 96",1,0.0138,0.3150684931506849,2.5245872848612576
17,96,0.0138,0.22847682119205298,2.415188384694006
26,9,0.0136,0.4444444444444444,15.220700152207002
9,26,0.0136,0.4657534246575342,15.220700152207002
110,108,0.0136,0.422360248447205,11.79777230299455
108,110,0.0136,0.37988826815642457,11.79777230299455
"6, 40",27,0.0136,0.8095238095238095,7.608306480486932
"6, 27",40,0.0136,0.24199288256227758,4.839857651245551
40,"6, 27",0.0136,0.272,4.839857651245551
108,107,0.0136,0.37988826815642457,3.280554992715238
"27, 40",6,0.0136,0.41975308641975306,2.1156909597769813
"3, 5",2,0.0134,0.7976190476190477,11.394557823129253
"2, 5",3,0.0134,0.6907216494845361,9.25900334429673
"2, 3",5,0.0134,0.3073394495412844,6.402905198776758
5,"2, 3",0.0134,0.2791666666666667,6.402905198776758
"6, 17",50,0.0134,0.5037593984962406,3.2209680210757075
"17, 50",6,0.0134,0.5630252100840336,2.8378286798590406
17,"6, 50",0.0134,0.22185430463576158,2.5677581555065
"27, 107","6, 117",0.0132,0.30414746543778803,10.862409479921
