base_items,add_items,support,confidence,lift
"1, 5","2, 3, 4",0.01,0.45871559633027525,39.54444795950649
"1, 3, 5","2, 4",0.01,0.6329113924050633,29.575298710516975
"2, 4","1, 3, 5",0.01,0.4672897196261682,29.575298710516975
"1, 2, 3, 4",5,0.01,0.9090909090909091,18.939393939393938
5,"1, 2, 3, 4",0.01,0.20833333333333334,18.939393939393938
"1, 4, 5","2, 3",0.01,0.7692307692307693,17.64290755116443
"2, 3","1, 4, 5",0.01,0.22935779816513763,17.64290755116443
"3, 4, 5","1, 2",0.01,0.7936507936507936,15.684798293493946
"1, 2, 3, 5",4,0.01,0.7692307692307693,14.192449616803861
"1, 2, 4, 5",3,0.01,0.9433962264150944,12.646062016288127
"1, 3, 4, 5",2,0.01,0.8333333333333334,11.904761904761905
"2, 4, 5","1, 3",0.01,0.6578947368421053,11.70631204345383
"1, 2, 3","4, 5",0.01,0.2604166666666667,8.857709750566894
"4, 5","1, 2, 3",0.01,0.3401360544217687,8.857709750566894
"2, 3, 4, 5",1,0.01,0.9615384615384616,7.704635108481263
134,131,0.01,0.24390243902439024,6.929046563192905
131,134,0.01,0.2840909090909091,6.929046563192905
116,117,0.01,0.33557046979865773,5.06904032928486
"10, 96",50,0.01,0.7692307692307693,4.918355301987015
"10, 50",96,0.01,0.352112676056338,3.7221213113777805
"50, 96",10,0.01,0.228310502283105,3.480343022608308
115,6,0.01,0.24630541871921183,1.2414587637057048
